productid,reviewid
B09W5XR9RT,R10SL1Q7F6CHBK
B09W5XR9RT,R1CBYX6RCGU739
B09W5XR9RT,R3PGNXSPA35NB3
B077Z65HSD,R1G4I5FLAHM16P
B077Z65HSD,R1DXRMVWV2OVE8
B077Z65HSD,R2BJFG3I9TAZ2P
B077Z65HSD,R35RERUQG5AERU
B077Z65HSD,RQVMA35UH4D2P
B077Z65HSD,R2WKO9Y6VGUOOP
B077Z65HSD,R1NECHJ8DC9INS
B077Z65HSD,RDDDU5N0JHZS7
B00NH11PEY,R1C8MVU3EIX56Y
B00NH11PEY,R10RUXC7JD5S4I
B00NH11PEY,R1AFBZ5PYTHO1Z
B00NH11PEY,R3GQL7YKAFJMEN
B00NH11PEY,R3B6H5JPG134KN
B00NH11PEY,RUG04XHXRXK95
B00NH11PEY,R2Q1OYOIJI5673
B00NH11PEY,RJX2WGB0X99SY
B09CMM3VGK,R223OIZPTZ994S
B09CMM3VGK,RATMJ847EPDQX
B09CMM3VGK,RHWJXUIB7QJY4
B09CMM3VGK,RKKX7CGMNCZLA
B09CMM3VGK,RL8AFQ3JO8B1N
B09CMM3VGK,R152XS08W2OG38
B09CMM3VGK,R2RS0DMJ29X2W6
B09CMM3VGK,RLLQ8T7VXWR65
B08QSC1XY8,R2S0AYWUV349HP
B08QSC1XY8,R35OW9CYQNAYHY
B08QSC1XY8,R3B3DDF1D5NULK
B08QSC1XY8,R3LZQDRMNS5CZO
B08QSC1XY8,RUGI31F4HDHOV
B08QSC1XY8,R24GFJRFT12S6S
B08QSC1XY8,R231AEG1IO02JM
B08QSC1XY8,RD31MI3UMAXP8
B008FWZGSG,R2Z9ENI1BK4EAB
B008FWZGSG,R2JTBG4GO7WPMG
B008FWZGSG,R3GKCN4UH999M8
B008FWZGSG,R3EGXE69JQH9AG
B008FWZGSG,RCX9JVSY2ISRL
B008FWZGSG,R1UVGU3RQMOG49
B008FWZGSG,R2VQFSALVKRALF
B008FWZGSG,R1M45F72399D3L
B0B4HJNPV4,R1Q323BB35OP30
B0B4HJNPV4,RJ0CSQUUWFF9W
B0B4HJNPV4,R23OB4XMH3S9QD
B0B4HJNPV4,R1K5FQR6CYMQAV
B0B4HJNPV4,R3QMD6JDUGQUCI
B0B4HJNPV4,R1R5LTMWOXI38M
B0B4HJNPV4,R241G3F07D3OBH
B0B4HJNPV4,R1O7BQ61DXRVWW
B08Y1SJVV5,R7S8ANNSDPR40
B08Y1SJVV5,R3CLZFLHVJU26P
B08Y1SJVV5,RFF7U7MPQFUGR
B08Y1SJVV5,R1MV1NKC23DWPI
B08Y1SJVV5,R11D3U0V2XKDKF
B08Y1SJVV5,R18MP1KLUE18PC
B08Y1SJVV5,RWGJNVEH5ZQME
B08Y1SJVV5,R1XN72FU6Q37IH
B07XLCFSSN,R213ILI3XNVHQ0
B07XLCFSSN,R1LZN1V8UCR9IU
B07XLCFSSN,R1EBFTZINSJ0LG
B07XLCFSSN,R3BKR3VZ1U81LW
B07XLCFSSN,R5OJ20F8H5T8U
B07XLCFSSN,R1FKQR9LSBVLH2
B07XLCFSSN,R3R8UN7IQY7EIT
B07XLCFSSN,R2WBDNEW6HCVSH
B09RZS1NQT,RW294SCHB5QTK
B09RZS1NQT,R24AGC1O5RVWYI
B09RZS1NQT,R3NT7AA2V3I2FB
B09RZS1NQT,R2WGLZMFMUHY4G
B09RZS1NQT,R34ZQBSQFAGSQB
B09RZS1NQT,R26YQ2I8VG8AXE
B09RZS1NQT,R1M1FEBTZ4UHXZ
B09RZS1NQT,R1QV3OMDYZ42VP
B0B3MMYHYW,R2J3Q3BUHJ2S7E
B0B3MMYHYW,R2H2ELE1DG24VY
B0B3MMYHYW,R1U1S7X7BPSZBU
B0B3MMYHYW,R9XVQWX40D175
B0B3MMYHYW,REHUMWC9Q9EAG
B0B3MMYHYW,RLEFI0WUITF14
B0B3MMYHYW,R1M41TK6XDE47C
B0B3MMYHYW,RUM8TBPKUE5UF
B09C6HWG18,R32JZC43P990BL
B09C6HWG18,R3H7SAJ305WZL4
B09C6HWG18,R37X6NTSTYLVQA
B09C6HWG18,R2D7LP2EBIX3W8
B09C6HWG18,R3C7TL9CMBKBQK
B09C6HWG18,R3UI3Z6GBVW39Z
B09C6HWG18,R331DK9D3GC0XJ
B09C6HWG18,R2G3RRE7N560V7
B00NH11KIK,R2AE3BN2Y58N55
B00NH11KIK,R6YVRITBSRECR
B00NH11KIK,R232KD83Q3MVML
B00NH11KIK,R23FRK2ABESQGU
B00NH11KIK,R3NE24KAHO8M69
B00NH11KIK,R2PZRPBF9ZAOMA
B00NH11KIK,R1DC9VBYLSSEB
B00NH11KIK,R2BBEAL7JZWXYR
B09JPC82QC,R1VOXBV87EI37W
B09JPC82QC,R1BIBCTNJPJOX3
B09JPC82QC,R2RRCA47QEK9C1
B09JPC82QC,R2WHV3RU3J4985
B09JPC82QC,R22K5MQ8Z8N6L2
B09JPC82QC,R3TQACIQUXT2WO
B09JPC82QC,R2YKPF09C6G76
B09JPC82QC,R1E6GYG29CA7RM
B07JW1Y6XV,R3HXWT0LRP0NMF
B07JW1Y6XV,R2AJM3LFTLZHFO
B07JW1Y6XV,R6AQJGUP6P86
B07JW1Y6XV,R1KD19VHEDV0OR
B07JW1Y6XV,R3C02RMYQMK6FC
B07JW1Y6XV,R39GQRVBUZBWGY
B07JW1Y6XV,R2K9EDOE15QIRJ
B07JW1Y6XV,R3OI7YT648TL8I
B07KRCW6LZ,RSNHWPVLK9SAQ
B07KRCW6LZ,R2RKKAN3GRHI0G
B07KRCW6LZ,R1FVWKC3ORTKKX
B07KRCW6LZ,RTWMPZGIX9EDV
B07KRCW6LZ,R3TRCC0769D12A
B07KRCW6LZ,R2NJK9AW0NVU1C
B07KRCW6LZ,R3M97OC4YJNBQT
B07KRCW6LZ,R2IUPWWR3XMJ3D
B09NJN8L25,R3F4T5TRYPTMIG
B09NJN8L25,R3DQIEC603E7AY
B09NJN8L25,R1O4Z15FD40PV5
B09NJN8L25,RDVX50PD4CTFE
B09NJN8L25,R3H6WKG0TA5CGU
B09NJN8L25,R3Q3L1KP5QWPV3
B09NJN8L25,RU0LU2PAIIME
B09NJN8L25,R20FTANBPFA653
B07XJYYH7L,RWSHFGBE1WU3I
B07XJYYH7L,R1VBNTH3HSMVMB
B07XJYYH7L,RTATA9H2ELJ81
B07XJYYH7L,R1B0APD6HVOT8V
B07XJYYH7L,R99TNL1C7XQ5O
B07XJYYH7L,R37RT17N8YUWT4
B07XJYYH7L,R1WG1ARVL9YH61
B07XJYYH7L,R2UFM5PKO62Z5R
B002PD61Y4,R2EJIN3N3L3XKI
B002PD61Y4,R2JMJ8QNG66LV4
B002PD61Y4,R3B46JNPC2T4E7
B002PD61Y4,R3HHJCTEJ7J9CS
B002PD61Y4,R2LOAPI3SK4RCX
B002PD61Y4,R1MLGZDQDKIVIF
B002PD61Y4,R10KVN4LSVD459
B002PD61Y4,R3BO9D050WHWVX
B014I8SSD0,R1FKOKZ3HHKJBZ
B014I8SSD0,R2WNMZI1EXTA0H
B014I8SSD0,RCA1M3W4RIXUR
B014I8SSD0,R3BKCLL6D7ZLIX
B014I8SSD0,REVSR0ILY3547
B014I8SSD0,R15W5KMQB95IV5
B014I8SSD0,R10PB68FRUHT5V
B014I8SSD0,R3TLCE9JSBU3UP
B09L8DSSFH,RVEWH0LAEO3NH
B09L8DSSFH,R3E42NTD6HXN1Q
B09L8DSSFH,R3IC0VLPIDBPTY
B09L8DSSFH,R1F0O9EAQGRSQS
B09L8DSSFH,R2B02VD2RPE2SE
B09L8DSSFH,RO2E58ZA8YH7E
B09L8DSSFH,R10AUMHF2MJRRU
B09L8DSSFH,R1BBQYI4QO69ID
B07232M876,R22EUJ1B1AM0OU
B07232M876,R2K89RVGN8N9MO
B07232M876,R177X9L6ND6OA7
B07232M876,R2YU5RDRT44DE6
B07232M876,R1K5FLRLAUZLKF
B07232M876,R1HAZS2PLM3RRQ
B07232M876,R3EX1BCG3VPANF
B07232M876,R1C72DNWTJGUI2
B07P681N66,R2GUL8IL005EGF
B07P681N66,R3NZCVYJBN0CPD
B07P681N66,RHUJOS46Q51UG
B07P681N66,R1ZW4PQHUECROJ
B07P681N66,R7F86XL2S6MY
B07P681N66,R1JRRVOFWQAC4C
B07P681N66,R2WZHK2E301YV
B07P681N66,R10J01VHCKFB42
B0711PVX6Z,R22EUJ1B1AM0OU
B0711PVX6Z,R2K89RVGN8N9MO
B0711PVX6Z,R177X9L6ND6OA7
B0711PVX6Z,R2YU5RDRT44DE6
B0711PVX6Z,R1K5FLRLAUZLKF
B0711PVX6Z,R1HAZS2PLM3RRQ
B0711PVX6Z,R3EX1BCG3VPANF
B0711PVX6Z,R1C72DNWTJGUI2
B082T6V3DT,R1Q0PEVL6X8WZJ
B082T6V3DT,RW0MMI9AUXK5J
B082T6V3DT,R2F3ACPBFRCFSK
B082T6V3DT,R2SB3XYC8XHNUQ
B082T6V3DT,R5L8G10EKZ9ZR
B082T6V3DT,R3W2X53D3BLIBR
B082T6V3DT,R29J3JSPZYQYCM
B082T6V3DT,R35I0ZZH2J58P7
B07MKFNHKG,RFZ1X95QMXWFZ
B07MKFNHKG,R1P8SL54VCWSMQ
B07MKFNHKG,RSWY4LT0L7TCL
B07MKFNHKG,R2GEJ1MJF28QVM
B07MKFNHKG,R2K5NT5XE6LM6T
B07MKFNHKG,R26BYG85S4SSVY
B07MKFNHKG,R3HB3IY6922TUM
B07MKFNHKG,R3A3CEQUX9QMFE
B0BFWGBX61,RQAF3Q7KCEGHP
B0BFWGBX61,R3CBLDFSRTKKYA
B0BFWGBX61,R3PZ3ENFIS7IJG
B0BFWGBX61,R2ACW4FTIVQJ77
B0BFWGBX61,R3K8YFINS1P9XN
B0BFWGBX61,R16G76XSWF9WTZ
B0BFWGBX61,R3O8ZTH4RRO02J
B0BFWGBX61,RXCDPPX5ZV2WX
B01N90RZ4M,RJ19CW7WCSFUI
B01N90RZ4M,R3W3PK017U6SIG
B01N90RZ4M,RJB32KHP5D5O3
B01N90RZ4M,R3POHJCTG2XX71
B01N90RZ4M,R1EKLLUH4KRRS9
B01N90RZ4M,R2S00YTPGW362
B01N90RZ4M,R24N5IPVE7LGCM
B01N90RZ4M,R2ZOR8P02Z5J8F
B0088TKTY2,R1LW6NWSVTVZ2H
B0088TKTY2,R3VR5WFKUS15C5
B0088TKTY2,R2F6GC79OYWUKQ
B0088TKTY2,R3QZ19MECGWG9A
B0088TKTY2,R2MPU42MYK7GPO
B0088TKTY2,R33DVXFB4VYPZZ
B0088TKTY2,R1SQ7OGFR4JRUR
B0088TKTY2,R1S5F9QI0M1VBZ
B09Q5SWVBJ,R3COVVOP2R7Z28
B09Q5SWVBJ,R2T6WHEO2ONNDD
B09Q5SWVBJ,RUFFV2QR43OCM
B09Q5SWVBJ,R2LK4WPIHJ7WDA
B09Q5SWVBJ,R6IPR9FHZ5BOT
B09Q5SWVBJ,R3DU4LFGTAIEMN
B09Q5SWVBJ,RVHHM5FW31JN1
B09Q5SWVBJ,R1QA870NJWIODF
B0B4DT8MKT,R25WW5K08CGVXV
B0B4DT8MKT,R1229K72SC8VW6
B0B4DT8MKT,R3G7X6LSJFGFXP
B0B4DT8MKT,R19IPICAE9A24Q
B0B4DT8MKT,R1J0JL7TOG1YNE
B0B4DT8MKT,R37NLAA34276Y9
B0B4DT8MKT,R13G1K0IPVB3EA
B0B4DT8MKT,R188FGJWORTDSC
B08CDKQ8T6,R2ACU430AWSQ15
B08CDKQ8T6,RZFPMZJQG4VEF
B08CDKQ8T6,R2P7VTDLLMDOA3
B08CDKQ8T6,R1B9M17A3N27E2
B08CDKQ8T6,R4LNZP9RCX3H3
B08CDKQ8T6,R3TL5BYHCMQSB3
B08CDKQ8T6,R1B2BRD05LJZX4
B08CDKQ8T6,R2WQKUAV6WUQ06
B07B275VN9,R3MXMT6V18JJ1P
B07B275VN9,R1BQE9L2M5L12J
B07B275VN9,R369X3BEG4QPC4
B07B275VN9,R1ZBU0U8R5KBQD
B07B275VN9,R1A0NYJ6MOX3U3
B07B275VN9,R3RYEYCYNV47BZ
B07B275VN9,R28TZ1RZWX14PP
B07B275VN9,RNGN2ZRL685Z5
B0B15CPR37,R3RUBB6REUGTT
B0B15CPR37,R281851EB9L5G6
B0B15CPR37,R4ATJJVUY9JO6
B0B15CPR37,R18455FQDOCS3H
B0B15CPR37,RLZ80A5MC1F5G
B0B15CPR37,R2DYRNTDPPD8A5
B0B15CPR37,R3IFT4P8VHQGL3
B0B15CPR37,R1DSJOGV3DFZK2
B0994GFWBH,RZJR37WFGXR9B
B0994GFWBH,R39X6O18GM16TM
B0994GFWBH,R18ZQ09EKVWZ9R
B0994GFWBH,R3NHUC9S00KIR8
B0994GFWBH,R30ZSNYE78E0O2
B0994GFWBH,R2LVRBREQ4EFDM
B0994GFWBH,R1UJ8BCYXWICT8
B0994GFWBH,R34RH86MGL4HFB
B01GGKZ0V6,R37S13YALMRPGK
B01GGKZ0V6,R2OU2YTGFEMJHE
B01GGKZ0V6,R25SDG11W8EAU9
B01GGKZ0V6,R2W38EQOY97N87
B01GGKZ0V6,R2U8MOGE4JDKBF
B01GGKZ0V6,R2CN3CX7SGEWDK
B01GGKZ0V6,RX74XLMFH35PD
B01GGKZ0V6,R1B861YJE8YL2B
B09F9YQQ7B,R3CR9H6ABJ4Q4O
B09F9YQQ7B,R2S5VBYYN51ELA
B09F9YQQ7B,R1U0718A15KBBU
B09F9YQQ7B,R9YRKNJ667H1E
B09F9YQQ7B,RAWMG4UI4CZD3
B09F9YQQ7B,R877Y6K5MW32G
B09F9YQQ7B,RC458V57ETXDN
B09F9YQQ7B,R2VOHT3T6361C5
B014I8SX4Y,R1FKOKZ3HHKJBZ
B014I8SX4Y,R2WNMZI1EXTA0H
B014I8SX4Y,RCA1M3W4RIXUR
B014I8SX4Y,R3BKCLL6D7ZLIX
B014I8SX4Y,REVSR0ILY3547
B014I8SX4Y,R15W5KMQB95IV5
B014I8SX4Y,R10PB68FRUHT5V
B014I8SX4Y,R3TLCE9JSBU3UP
B09Q8HMKZX,R1LG3XV2XYCQQB
B09Q8HMKZX,RPVNHPEU1HG9F
B09Q8HMKZX,R1MD4LW015PP00
B09Q8HMKZX,R5RCZRA2XSJVU
B09Q8HMKZX,R1TPVT7TXNNW2
B09Q8HMKZX,R1GYI0Y69RU13
B09Q8HMKZX,R3S5U7BJ1KTKAU
B09Q8HMKZX,R3F02OAHFU646V
B0B9XN9S3W,R3FTW5HNPCX66C
B0B9XN9S3W,RM7IFDV9KNC2O
B0B9XN9S3W,RK9JKA9U9LZ49
B0B9XN9S3W,R15UN38LGPS71W
B0B9XN9S3W,RCBVF30PUU6UT
B0B9XN9S3W,R1I75CYBWWYB2G
B0B9XN9S3W,R2Z5R4CWX4B3KB
B0B9XN9S3W,RX4O8WQ6VY2AS
B07966M8XH,R9GNL4OF49DH6
B07966M8XH,R2I0MJPJI6FOIE
B07966M8XH,R732VQVZLKUGL
B07966M8XH,R3L55JQKYQUMNC
B07966M8XH,R2MN9LXLLTNJ58
B07966M8XH,RY71WCYL05RXL
B07966M8XH,RPFUVX3Z31TRO
B07966M8XH,RO7LRFL67Z505
B01GGKYKQM,R1BC08IFG4REKS
B01GGKYKQM,R1FJKIHIO54SOW
B01GGKYKQM,R3JR48W2CI480
B01GGKYKQM,R3JH7SHSXDT1GT
B01GGKYKQM,R35QWAY83WL8H6
B01GGKYKQM,R25N2U90N2A5AS
B01GGKYKQM,R19AK3DT3JOE82
B01GGKYKQM,R210WJI15JCSRE
B0B86CDHL1,RDFETF8YFDP96
B0B86CDHL1,R3604ERFM30Q4D
B0B86CDHL1,R1CB3GDRVBHAIG
B0B86CDHL1,R29H4558OA57RW
B0B86CDHL1,R2C4V03DG7EDWE
B0B86CDHL1,R20CNK6VJGER17
B0B86CDHL1,RXZLH38FGBU9K
B0B86CDHL1,R3E6TE6HH92GC3
B0B5ZF3NRK,R27HJ954EMEOQK
B0B5ZF3NRK,R2EPGPZGPWXR4I
B0B5ZF3NRK,R1KUXERHI948E7
B0B5ZF3NRK,R1YRGKI6652QR
B0B5ZF3NRK,R3DCUTJ6CQCASZ
B0B5ZF3NRK,R11TECZ2LD0OKP
B0B5ZF3NRK,R276HYHWQ5B09O
B0B5ZF3NRK,R2HOVRWP63K3OL
B09RFC46VP,R3CR9H6ABJ4Q4O
B09RFC46VP,R2S5VBYYN51ELA
B09RFC46VP,R1U0718A15KBBU
B09RFC46VP,R9YRKNJ667H1E
B09RFC46VP,RAWMG4UI4CZD3
B09RFC46VP,R877Y6K5MW32G
B09RFC46VP,RC458V57ETXDN
B09RFC46VP,R2VOHT3T6361C5
B08R69VDHT,R2VUNGNI96EEJ7
B08R69VDHT,R2JGNI2T5LVFRQ
B08R69VDHT,R9ISXRV6DA0OY
B08R69VDHT,RZFW11UFTCBVH
