reviewid,review
R3QMD6JDUGQUCI,Cheapest micro USB cable in the market
R1R5LTMWOXI38M,boat is better than this
R241G3F07D3OBH,I bought this for 199rs best charging cable for all mobiles
R1O7BQ61DXRVWW,Good
R213ILI3XNVHQ0,Good
R1LZN1V8UCR9IU,Worth to buy
R1EBFTZINSJ0LG,Great value for price
R3BKR3VZ1U81LW,Good product
R5OJ20F8H5T8U,Nice product.
R1FKQR9LSBVLH2,Reliable and worth it!
R3R8UN7IQY7EIT,Much more sturdy and durable than Apple cable
R2WBDNEW6HCVSH,Good
RW294SCHB5QTK,Worth it!
R24AGC1O5RVWYI,Good one
R3NT7AA2V3I2FB,Robust and effective.
R2WGLZMFMUHY4G,Good
R34ZQBSQFAGSQB,Good
R26YQ2I8VG8AXE,It's a good product under 199 rupees It's neatly packed and has good quality built
R1M1FEBTZ4UHXZ,Nice product
R1QV3OMDYZ42VP,Worth the price
R2J3Q3BUHJ2S7E,Decent product. Value for money.
R2H2ELE1DG24VY,Value for money
R1U1S7X7BPSZBU,Improvements Needed
R9XVQWX40D175,Everything thing good except the installation experience
REHUMWC9Q9EAG,Overall taking all aspects TV is good within the price point
RLEFI0WUITF14,Tv installation services
R1M41TK6XDE47C,One among the good TVs in the market.
RUM8TBPKUE5UF,Picture
R32JZC43P990BL,Product is as expected
R3H7SAJ305WZL4,Cable has problem with samsung galaxy s8 ultra tablet
R37X6NTSTYLVQA,Quality and service is good.
R2D7LP2EBIX3W8,It's perfect
R3C7TL9CMBKBQK,definitely what i needed
R3UI3Z6GBVW39Z,Worth buying this cable
R331DK9D3GC0XJ,Just awesome
R2G3RRE7N560V7,fast charge
R2AE3BN2Y58N55,Functionality as described
R6YVRITBSRECR,Working
R232KD83Q3MVML,Great USB in budget
R23FRK2ABESQGU,Good
R3NE24KAHO8M69,Good
R2PZRPBF9ZAOMA,It just works
R1DC9VBYLSSEB,Works with my Casio ct-x700 well
R2BBEAL7JZWXYR,Still working after 3 months
R1VOXBV87EI37W,DETAILED REVIEW after 3 WEEKS of Usage !!!
R1BIBCTNJPJOX3,Priceworthy.
R2RRCA47QEK9C1,It's a good product
R2WHV3RU3J4985,Good
R22K5MQ8Z8N6L2,Vivid picture quality is stunning
R3TQACIQUXT2WO,SUPER DEAL
R2YKPF09C6G76,Value for money
R1E6GYG29CA7RM,Very nice
RSNHWPVLK9SAQ,Dual Bandwidth
R2RKKAN3GRHI0G,It's good
R1FVWKC3ORTKKX,Simple and effective
RTWMPZGIX9EDV,Easy plug and play
R3TRCC0769D12A,Only 200mbps support
R2NJK9AW0NVU1C,Great Device for Old Laptops
R3M97OC4YJNBQT,Good device but be careful for a defective one.
R2IUPWWR3XMJ3D,Excellent Speeds and Coverage!
RWSHFGBE1WU3I,Its slow in charging
R1VBNTH3HSMVMB,Ok product
RTATA9H2ELJ81,Looks good
R1B0APD6HVOT8V,but charges slow
R99TNL1C7XQ5O,very slow charing.
R37RT17N8YUWT4,Poor quality
R1WG1ARVL9YH61,iPhone part will last for two months only
R2UFM5PKO62Z5R,other two are ok
R2EJIN3N3L3XKI,good tool to use for
R2JMJ8QNG66LV4,Brand is always good
R3B46JNPC2T4E7,Overall good and a better experience
R3HHJCTEJ7J9CS,It is useful to me.
R2LOAPI3SK4RCX,Works well with cpplus dvr
R1MLGZDQDKIVIF,Good
R10KVN4LSVD459,Its not plug an play u need to install the driver and will support till 2.4 Ghz not above that
R3BO9D050WHWVX,Surveillance Camera In My House
RVEWH0LAEO3NH,Overall Good
R3E42NTD6HXN1Q,Works well. Will comment on durability after using it for a few months.
R3IC0VLPIDBPTY,Nice product
R1F0O9EAQGRSQS,Channel button doesn't work
R2B02VD2RPE2SE,Compatible with every smart tv
RO2E58ZA8YH7E,functionality at a budget
R10AUMHF2MJRRU,Number keys not working
R1BBQYI4QO69ID,It's good to go ahead with this
R22EUJ1B1AM0OU,Using it with my QC 3 Charger .So far- So good.A Quality cable with a sturdy construction & troublefree performance.
R2K89RVGN8N9MO,Awesome product go for buy it
R177X9L6ND6OA7,Execellent
R2YU5RDRT44DE6,Sturdy micro USB cable for Old phones
R1K5FLRLAUZLKF,Super
R1HAZS2PLM3RRQ,Product description says 3 feet it's hardly a foot length wire.
R3EX1BCG3VPANF,Good
R1C72DNWTJGUI2,Excellent quality cable
R2GUL8IL005EGF,Works flawlessly on Ubuntu 22.04 (if installed correctly)
R3NZCVYJBN0CPD,Best for kali. Do not read another review.
RHUJOS46Q51UG,Nice product
R1ZW4PQHUECROJ,From 0 to 70
R7F86XL2S6MY,Good External Wifi Signal Provider
R1JRRVOFWQAC4C,Superb
R2WZHK2E301YV,Awesome and easy to use
R10J01VHCKFB42,Good product
R1Q0PEVL6X8WZJ,Good product but costly
RW0MMI9AUXK5J,Its really long n sturdy no homo
R2F3ACPBFRCFSK,Takes longer to charge than the regular cable
R2SB3XYC8XHNUQ,Quality is really good
R5L8G10EKZ9ZR,iPhone X pink charging cable long one
R3W2X53D3BLIBR,A good purchase
R29J3JSPZYQYCM,It charges fine for me
R35I0ZZH2J58P7,Absolutely fantastic USB
RFZ1X95QMXWFZ,Firestick plugging in issue
R1P8SL54VCWSMQ,otherwise a good deal
RSWY4LT0L7TCL,Cheap & Best Product
R2GEJ1MJF28QVM,Low budget led tv
R2K5NT5XE6LM6T,Nice tv
R26BYG85S4SSVY,Very. Good
R3HB3IY6922TUM,Why is the installation guy asking for installation charge?
R3A3CEQUX9QMFE,Good Budget Tv
RQAF3Q7KCEGHP,Good product
R3CBLDFSRTKKYA,Strong and powerful
R3PZ3ENFIS7IJG,Useful product.
R2ACW4FTIVQJ77,Very nice product
R3K8YFINS1P9XN,Good
R16G76XSWF9WTZ,Good
R3O8ZTH4RRO02J,USB
RXCDPPX5ZV2WX,Strong buid
RJ19CW7WCSFUI,The button contacts are not very good.
R3W3PK017U6SIG,Okay for temporary use
RJB32KHP5D5O3,Seller: Smart Place Store; Remote Not original
R3POHJCTG2XX71,It's below average
R1EKLLUH4KRRS9,Ok
R2S00YTPGW362,Tata sky remote
R24N5IPVE7LGCM,Tatasky remote.
R2ZOR8P02Z5J8F,Working one
R25WW5K08CGVXV,Nice
R1229K72SC8VW6,Awesome
R3G7X6LSJFGFXP,Quick not charger
R19IPICAE9A24Q,Expensive at this price
R1J0JL7TOG1YNE,Multiple mobile cant be charged at a time
R37NLAA34276Y9,THIS IS FAST CHARGING ON BOTH MY SAMSUNG PHONES AND IPHONE TOO. Go for it !!
R13G1K0IPVB3EA,Excellent quality!
R188FGJWORTDSC,CHARGING CABLE
R2ACU430AWSQ15,It's working
RZFPMZJQG4VEF,It's gud
R2P7VTDLLMDOA3,Cable quality is good.
R1B9M17A3N27E2,Durable and Works Well
R4LNZP9RCX3H3,Good data cable same as shown in pic
R3TL5BYHCMQSB3,Portronics knonnect L 1.2 mtr Micro USB cable
R1B2BRD05LJZX4,Ok
R2WQKUAV6WUQ06,Great quality
R3MXMT6V18JJ1P,Simple and good
R1BQE9L2M5L12J,Satisfied!
R369X3BEG4QPC4,Good one
R1ZBU0U8R5KBQD,Light weight
R1A0NYJ6MOX3U3,good working
R3RYEYCYNV47BZ,ok
R28TZ1RZWX14PP,Poor quality! Stopped working after a month!
RNGN2ZRL685Z5,Not able to connect
R3RUBB6REUGTT,Best(Branded) Budget TV
R281851EB9L5G6,A high-quality 4k Smart TV from Samsung
R4ATJJVUY9JO6,Received Defective
R18455FQDOCS3H,Got Replacement
RLZ80A5MC1F5G,Nice product but
R2DYRNTDPPD8A5,Tv is good
R3IFT4P8VHQGL3,Best budget tv
R1DSJOGV3DFZK2,Value for money. Samsung is always good
RZJR37WFGXR9B,A well-priced product.
R39X6O18GM16TM,Lenthy cord.
R18ZQ09EKVWZ9R,Product is working as expected.
R3NHUC9S00KIR8,Lengthy cable
R30ZSNYE78E0O2,works for car dashcam
R2LVRBREQ4EFDM,Product is okay but they give 50rs for giving 5 stars.
R1UJ8BCYXWICT8,Misleading length (1.2m)
R34RH86MGL4HFB,rest fine
R37S13YALMRPGK,Its ok product not too good not bad
R2OU2YTGFEMJHE,Cheap and best
R25SDG11W8EAU9,Performance
R2W38EQOY97N87,Works well
R2U8MOGE4JDKBF,Not working with Fast Charger
R2CN3CX7SGEWDK,This Type-C cable is awesome.
RX74XLMFH35PD,Does not support display
R1B861YJE8YL2B,Good
R3CR9H6ABJ4Q4O,Worth the price
R2S5VBYYN51ELA,"Mi Smart Tv 32"" :- 7/10 average."
R1U0718A15KBBU,Worth using since 1.5 years
R9YRKNJ667H1E,expect more from mi
RAWMG4UI4CZD3,Worth for money.
R877Y6K5MW32G,Good product
RC458V57ETXDN,Its good
R2VOHT3T6361C5,Go for it without thinking twice.
R1LG3XV2XYCQQB,Iphone User
RPVNHPEU1HG9F,Overall good
R1MD4LW015PP00,Perfect price
R5RCZRA2XSJVU,perfect fit
R1TPVT7TXNNW2,Good
R1GYI0Y69RU13,Worth
R3S5U7BJ1KTKAU,Perfect replacement for Apple cable
R3F02OAHFU646V,At this price it's a steal.
R3FTW5HNPCX66C,Value for Money
RM7IFDV9KNC2O,Good product
RK9JKA9U9LZ49,Great excellent picture quality
R15UN38LGPS71W,value for money
RCBVF30PUU6UT,Worth for the money
R1I75CYBWWYB2G,Good
R2Z5R4CWX4B3KB,100% Value for money
RX4O8WQ6VY2AS,Value for money
R9GNL4OF49DH6,A nice & sturdy product.
R2I0MJPJI6FOIE,Assembly
R732VQVZLKUGL,nyc hairdryee
R3L55JQKYQUMNC,Good
R2MN9LXLLTNJ58,Fits perfectly!!
RY71WCYL05RXL,Not suitable for 50inch and above
RPFUVX3Z31TRO,Worth buying
RO7LRFL67Z505,Worth
R1BC08IFG4REKS,You can trust on this one
R1FJKIHIO54SOW,The best usb cable
R3JR48W2CI480,Wel build just like original .
R3JH7SHSXDT1GT,Nice!!
R35QWAY83WL8H6,Working perfectly
R25N2U90N2A5AS,Basic
R19AK3DT3JOE82,Good
R210WJI15JCSRE,No issues
RDFETF8YFDP96,It worked well for some days later it is not working
R3604ERFM30Q4D,I want it to replace.
R1CB3GDRVBHAIG,Extremely fine
R29H4558OA57RW,Superb product
R2C4V03DG7EDWE,This is very decent
R20CNK6VJGER17,quality is super good!
RXZLH38FGBU9K,Good
R3E6TE6HH92GC3,Awesome Product Quantity & Value For Money
R27HJ954EMEOQK,Good.
R2EPGPZGPWXR4I,Good product
R1KUXERHI948E7,Ultimate product
R1YRGKI6652QR,Good Product
R3DCUTJ6CQCASZ,Not that good. But ok for the price.
R11TECZ2LD0OKP,Fast cable
R276HYHWQ5B09O,Fast charging
R2HOVRWP63K3OL,Best Alternative to Original Cable
R2VUNGNI96EEJ7,Very good product and met my need. Thanks
R2JGNI2T5LVFRQ,Decent value
R9ISXRV6DA0OY,Nice quality trustable
RZFW11UFTCBVH,Just well in this price.
R1WGHB13Q2OLYA,supports 2.4 amps fast charging
R11ETJ640KDIRW,Nice
R2IA54QBAYAGND,Nice.
R23Y3AD6E6GE9N,Value for money
RMEKYV7XWTWKV,Better..!!
R1PYVXH6MGUQLU,Charging speed is not guaranteed!
R3FUT08S34HBHW,Exactly as advertised
R2X57Q7030Q9DG,Excellent warp charge cable
REPXGC5R2LG85,Nice
R399JBQZ8JKDKC,Amazing cable
R1N2RQSGT02EZJ,Best fast charging cable
R1NGVE16U4ZUIR,Really a good cable
R37D7HJR4MR520,Good product
RPXR67LNCQALE,Its good
R1K9WE1GDB2PP0,but micro usb doesn't fit my phone.
R34PZ2AX727RPD,Good and useful item
R2HALNEM14EW7P,It is very best cable
R3D6EV6X38WU4Q,good
R2NCR8UX28VRH4,2 in 1 Charging Cable.
R3PTXRLR7MPN25,Sturdy cable overall
R8QBCR9MM1LGY,GOOD
R3VN8XDH215N7I,Thank you Amazon very good charging cable
R341EQRY87EZP,Good
R3HHTVIHY2U1FO,Very good product
RNA87JCGRTQJU,good quality
RZ12R7OYYP0KX,Very Good Product
R2GZZ3WYE0JJYA,This is fast charging USB!
RHE3HXKSONROE,Simply perfect at the price of below 100
R95AYORS91NWX,Good
R345JC4508EPTU,Value for Money
R20E3IUW7O236Z,Picture quality was nice....over all product nice
R2QP52L8FNG8EN,Till today everything okay
RS73FA8EPYION,Y
R134725GEKQE0F,Good
RSQ14DVNFLV3C,Outstanding Performance
R2OSJ4YOGUTXNR,Must buy
R2LX1M52C4KNJA,Value for money
R2BXIXVBJUUUEC,Nice product
R19EYLO6N0AKLG,timely delivered with good packeging
R2PGJZAQVR5XQE,Good in quality
R20A9E5E100YPR,Quite nice cable
RTSX75DFGY3VC,Go for it
R1WGYKGMT7EHPY,Good product
R1ZXKR6UFH5VNW,value for money
R35LMI5GBW0RX3,Good Product
R35IGWMP7EV49V,Good product for my fire Tv
R3KQ92E1PGHL45,Over-all food
RZU6RWH3LJNWV,Good product
R2KYY1GC45E5SL,Product quality is very good and so is the customer service
R3M55L4CWCO99H,Its good
R3W4I9B0JTZJH4,worth buying
R30ELP5YFHQ2F3,Remote is working fine
R3MHRRK05RD01A,Good in this price
R14A3U8XTK1D7X,Speakers and sound next level
R1F10MFQBXZA8W,Bad remote
RAT511FHTC8Q4,Remote problem
R11FM1DRG1FNOI,Good quality
R1RZDRQI3RD780,Skywall 32 smart TV
RJS87YIWGG7GF,Phone se screen chalane fasta hai
R2JI1L2FTMA3ZW,YouTube me I'd nhi bana pa raha hun
R23CC5VDSVR49B,Good Stuff... Recommended!!!
R1AWZE3731748T,Need better quality
R388KOR9TWPX5H,
R2PLH1UHYDQWFA,Good
R1B7Q58I1P83OY,best buy of this cable
R1C13PY8A3WUC5,Best for
RTEAGC48PIYAU,Tough
R2E0N8Q0ZQM9N9,Nil
R10365HEDURWI9,Nice product .
R5RP542IMC4OI,Good quality Braided cable
RX2HFWXTTQDTS,VFM
R2636VYPMOZV9,Good cord
RW2Z2YM3K8UV5,but has Earthing issue
RVNGA0FEAXYHI,Ok
R2K7MABWMAQE26,Good product. Little bit fast charger for phones like redmi.
R33YS4PO3JWU23,Fast charging is working properly
R14ZOPYFHOYYRQ,Super charger in lapster
R1GQH74NUCJZZ7,Best among the rest
R1BNWIYBRSI1Z6,Classy product and authentic one
R347KU67LE6JEH,Excellent product
RMGA8IGV2WQDX,Worked fine
R2782FIPC5T4KM,thank you
R220M468LVHIE1,Stylish and flexible cable
RA1PNAU355MLG,Amazing
R3AZDEK3MQA3RA,Will not work with new system
RXF3HCCBWV0VB,Veri good
R6CVYFDUXBS36,Ok product
R1QMN1WQJIWAB7,Access wifi signal.
R2MOVGGWRV4ZPE,
R2Z00XYFTN4T2Y,very good
R294UWCBOTKD8H,Good Product
R3NPDCAH895UHB,8139EU based okayish but low reception
R3ET6IRJTU70BS,Does its Job fine
R3589B83QJ7IR8,Working perfect
R19UEB6ST57UVR,working fine
RG7D4BZAWAW7I,Disappointed
R32C8DOWXVBIQP,Does the job.
R14MFGZY1ZD0M6,Nice product with good quality
RD2T9Z6AG9GBY,Good product
ROTSX1QO0ZBS6,Nice Product
R2GC03W48T3IJR,TV looks fine
R3EL2OA6MMM893,however I see some lag while selecting the applications
R1GV21LOE1079G,Best TV in the Price range
R3RT49SO6YCNDO,Good for value
R31P7Y321UTDK1,Good build quality
R16ZGZCQ1H0ED3,I am satisfied it's service till now if this will continue then it is very good
R217N2SRNQMWHJ,Affordable price for all
R1H7N6CO2XOFSO,Very good tv
R32XZQTB1BP0J8,Good product
R2NHRHTL743ZMA,Best produced
R10FKRAEORI9L,Working well as of now
REVEDLADDDB1V,Money worth
R36GKVZB8QEVRH,Good equipment
R2GVIPC51M5OO6,Writing after one month use. Working okay no issues till now
R353OSCK8VF5E3,Nice product
R30ADKRID5GLDX,Easy piece of great product
R1MTTFP4GWHWC8,Very hard to use
R2A03DS956BN4T,Good
R21TRTA1VGGCD3,Required Replacement but replaced one is Good
R1UJJ36GMAT8P8,Good product & connectivity
RLLTRV5LUMPGQ,Used remote delivered
R1A3XYRF4ESBLP,VFM
RIOC9B1740DPI,Perfectly Compatible.
R12CWR7TITHMF8,Working fine with mi tv4
R168J8VQSY0OH5,Product is nice
R18LTVF8A76SR3,Decent cable
RVRLO0A6SRBIU,It charges all the three types
R3VH49P53CT04T,Value of money
RSEQE3YO0NKC0,Product is good and worth of money
R3A8QATMFQYP3W,Good material.... working good
R374YBV58QVZRY,Very good
R233DLMRTKEDS4,
R30SWI8U6K7PDR,Easy to use
R2K3WL7JFGLDI,Working fine - but errors while using USB and Ethernet adapter together.
R2WXWZRPAKQ1GP,Speed is just awesome go for it
R29PWDI4WOF8FK,Best price to buy
R26V2X161L8NR5,Awesome product
R3B4VBD2NKURWM,Overall good
